Subject Number,Stimulus Feature,Congruency,Key Press,Reaction Time,Accuracy
1,1,1,1,0.64866,1
1,1,1,1,0.6785,1
1,3,1,1,0.76075,1
1,4,1,2,0.52216,1
1,3,1,1,0.61216,1
1,1,1,1,0.611,1
1,2,1,2,0.59988,1
1,3,1,1,0.63566,1
1,4,1,2,0.5665,1
1,2,1,2,0.79135,1
1,2,1,2,0.5193,1
1,1,1,1,0.49309,1
1,3,1,1,0.56892,1
1,4,1,2,0.49596,1
1,4,1,2,0.52981,1
1,4,1,2,0.43311,1
1,2,1,1,0.40652,0
1,1,1,1,0.63333,1
1,4,1,2,0.50712,1
1,1,1,1,0.49712,1
1,3,1,1,0.48292,1
1,2,1,2,0.44489,1
1,4,1,2,0.48282,1
1,3,1,1,0.4483,1
1,1,1,1,0.62149,1
1,1,1,1,0.45322,1
1,4,1,2,0.47733,1
1,1,1,1,0.52314,1
1,2,1,2,0.50286,1
1,4,1,2,0.50972,1
1,1,1,1,4.6986,1
1,3,1,1,0.73221,1
1,3,1,1,0.59112,1
1,2,1,2,0.52395,1
1,4,1,2,0.52093,1
1,2,1,2,0.48883,1
1,2,1,2,0.70566,1
1,3,1,1,0.71246,1
1,3,1,1,0.52331,1
1,3,1,1,0.52109,1
1,2,1,2,0.63398,1
1,2,1,2,0.47974,1
1,4,1,2,0.45527,1
1,4,1,2,0.44674,1
1,4,1,2,0.46554,1
1,2,1,1,0.69235,0
1,2,1,2,0.49923,1
1,1,1,1,0.49086,1
1,3,1,1,0.60576,1
1,4,1,2,0.52872,1
1,1,1,2,0.48947,0
1,2,1,2,0.91438,1
1,2,1,2,0.66022,1
1,2,1,2,0.59906,1
1,1,1,1,0.57886,1
1,1,1,1,0.47672,1
1,2,1,2,0.5728,1
1,1,1,1,0.51254,1
1,3,1,1,0.63435,1
1,4,1,2,0.44814,1
1,1,1,1,0.6231,1
1,4,1,2,0.54698,1
1,2,1,1,0.4717,0
1,3,1,1,0.64571,1
1,1,1,1,0.73144,1
1,4,1,2,0.57347,1
1,3,1,1,0.53527,1
1,1,1,1,0.50315,1
1,1,1,1,0.52903,1
1,2,1,2,0.48691,1
1,4,1,2,0.54873,1
1,1,1,1,0.56866,1
1,4,1,2,0.46332,1
1,3,1,1,0.56835,1
1,3,1,1,0.6163,1
1,4,1,2,0.44985,1
1,3,1,1,0.52908,1
1,2,1,2,0.52183,1
1,4,1,2,0.59371,1
1,4,1,2,0.46552,1
1,1,1,1,0.53947,1
1,4,1,2,0.58132,1
